cause_id,glo_bothsex,glo_male,glo_female,agegroup,year
20,506443,302225,204218,50-59 years,2015
380,135413,84027,51386,50-59 years,2015
420,0,0,0,50-59 years,2015
490,36,16,20,50-59 years,2015
540,13266,6595,6671,50-59 years,2015
610,1444913,807775,637138,50-59 years,2015
790,8908,5000,3908,50-59 years,2015
800,198379,107368,91011,50-59 years,2015
810,26443,14084,12359,50-59 years,2015
820,67832,52045,15787,50-59 years,2015
940,63418,34476,28942,50-59 years,2015
1100,1811357,1186088,625269,50-59 years,2015
1170,285084,175210,109874,50-59 years,2015
1210,406018,280664,125354,50-59 years,2015
1260,186007,102836,83171,50-59 years,2015
1330,8066,4199,3867,50-59 years,2015
1340,11384,4267,7117,50-59 years,2015
1400,6941,3587,3354,50-59 years,2015
1505,1,0,1,50-59 years,2015
1520,369500,271500,98000,50-59 years,2015
1600,167430,122167,45263,50-59 years,2015
0,8426125,5092462,3333663,60-69 years,2015
20,457924,252227,205697,60-69 years,2015
380,240984,142340,98644,60-69 years,2015
420,0,0,0,60-69 years,2015
490,37,20,17,60-69 years,2015
540,21441,10491,10950,60-69 years,2015
610,2152898,1301709,851189,60-69 years,2015
790,17784,10592,7192,60-69 years,2015
800,329951,168656,161295,60-69 years,2015
810,35976,18871,17105,60-69 years,2015
820,46430,34643,11787,60-69 years,2015
940,141419,73662,67757,60-69 years,2015
1100,3052151,1874919,1177232,60-69 years,2015
1170,677218,420154,257064,60-69 years,2015
1210,472756,300670,172086,60-69 years,2015
1260,274364,153716,120648,60-69 years,2015
1330,12341,6413,5928,60-69 years,2015
1340,21067,8496,12571,60-69 years,2015
1400,5727,3002,2725,60-69 years,2015
1505,1,0,1,60-69 years,2015
1520,346796,230030,116766,60-69 years,2015
1600,118666,81737,36929,60-69 years,2015
0,24855311,11921973,12933338,70+ years,2015
20,997890,440936,556954,70+ years,2015
380,1119911,539859,580052,70+ years,2015
420,0,0,0,70+ years,2015
490,48,16,32,70+ years,2015
540,109427,45360,64067,70+ years,2015
610,3860450,2182880,1677570,70+ years,2015
790,84107,41809,42298,70+ years,2015
800,693522,304245,389277,70+ years,2015
810,120846,49208,71638,70+ years,2015
820,42418,26059,16359,70+ years,2015
940,1587276,597699,989577,70+ years,2015
1100,10755182,4871875,5883307,70+ years,2015
1170,2759722,1501169,1258553,70+ years,2015
1210,916779,438435,478344,70+ years,2015
1260,810836,391883,418953,70+ years,2015
