country,cause_id,d_bothsex,d_male,d_female,year
Egypt,380,20700,11400,9300,2019
Egypt,420,800,0,800,2019
Egypt,490,22600,12400,10200,2019
Egypt,540,900,500,500,2019
Egypt,610,85200,46500,38800,2019
Egypt,790,100,100,0,2019
Egypt,800,19100,9300,9800,2019
Egypt,810,2400,1100,1200,2019
Egypt,820,300,200,0,2019
Egypt,940,10700,5500,5100,2019
Egypt,1100,252700,135600,117100,2019
Egypt,1170,21500,12800,8700,2019
Egypt,1210,66300,37100,29200,2019
Egypt,1260,21300,9500,11800,2019
Egypt,1330,200,100,100,2019
Egypt,1340,200,100,200,2019
Egypt,1400,12200,6600,5600,2019
Egypt,1505,300,200,200,2019
Egypt,1520,19500,13400,6100,2019
Egypt,1600,7900,5800,2100,2019
El Salvador,0,40700,23100,17600,2019
El Salvador,20,3100,1700,1400,2019
El Salvador,380,2400,1400,1000,2019
El Salvador,420,0,0,0,2019
El Salvador,490,600,300,200,2019
El Salvador,540,300,200,200,2019
El Salvador,610,4500,1900,2600,2019
El Salvador,790,100,100,100,2019
El Salvador,800,1400,500,900,2019
El Salvador,810,200,100,100,2019
El Salvador,820,700,700,100,2019
El Salvador,940,900,400,400,2019
El Salvador,1100,8200,4200,4100,2019
El Salvador,1170,2600,1300,1300,2019
El Salvador,1210,2100,1200,900,2019
El Salvador,1260,5100,3400,1600,2019
El Salvador,1330,100,100,100,2019
El Salvador,1340,100,0,100,2019
El Salvador,1400,400,300,200,2019
El Salvador,1505,0,0,0,2019
El Salvador,1520,1900,1400,500,2019
El Salvador,1600,5900,4000,1900,2019
India,0,9171300,4980000,1000,2019
India,20,1342000,659500,100,2019
India,380,393100,190200,0,2019
India,420,25900,0,0,2019
India,490,434100,227800,0,2019
India,540,21200,7500,0,2019
India,610,920600,470100,200,2019
India,790,3000,1700,0,2019
India,800,271500,142100,100,2019
India,810,15300,7000,0,2019
India,820,34900,30500,0,2019
India,940,209900,101700,100,2019
India,1100,2566500,1450800,300,2019
India,1170,1146400,617500,100,2019
India,1210,459100,290700,0,2019
India,1260,291200,165100,100,2019
India,1330,17900,9000,0,2019
India,1340,25400,9000,0,2019
India,1400,82800,42800,0,2019
India,1505,2700,1400,0,2019
India,1520,682000,415200,0,2019
India,1600,226000,140300,0,2019
Nigeria,0,1650300,887200,763100,2019
Nigeria,20,599900,329300,270600,2019
Nigeria,380,207500,112200,95300,2019
Nigeria,420,23500,0,23500,2019
Nigeria,490,238800,133300,105400,2019
Nigeria,540,6400,3500,2900,2019
Nigeria,610,72000,29000,43000,2019
Nigeria,790,300,100,100,2019
